timestamp,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2010-01-05T05:00:00Z,1.1515137546,1.1520109446,1.1513776917,1.1519208371,1.1516342256,1.1521314156,1.1514981627,1.1520413081,8964964.9931775145,1
2010-01-05T06:00:00Z,1.1519190389,1.1522481978,1.1514440306,1.1516372966,1.1520431062,1.1523722651,1.1515680979,1.1517613638,6425852.4085179139,1
2010-01-05T07:00:00Z,1.1516356206,1.1519503536,1.1512760738,1.1513493878,1.1517630398,1.1520777728,1.1514034930,1.1514768070,10975875.3610816300,1
2010-01-05T08:00:00Z,1.1513512597,1.1517311696,1.1508843213,1.1513202518,1.1514749350,1.1518548449,1.1510079966,1.1514439270,10071539.1725209281,1
2010-01-05T09:00:00Z,1.1513176883,1.1513179954,1.1511295770,1.1511297056,1.1514464905,1.1514467977,1.1512583792,1.1512585079,6208264.2287761495,1
2010-01-05T10:00:00Z,1.1511347621,1.1516681376,1.1510412412,1.1515072062,1.1512534514,1.1517868269,1.1511599305,1.1516258955,5825688.5551916892,1
2010-01-05T11:00:00Z,1.1515050487,1.1516440363,1.1505263967,1.1507168284,1.1516280530,1.1517670406,1.1506494010,1.1508398327,11149767.5381034575,1
2010-01-05T12:00:00Z,1.1507169848,1.1514179769,1.1506768161,1.1510616805,1.1508396764,1.1515406686,1.1507995077,1.1511843721,9017205.9260789957,1
2010-01-05T13:00:00Z,1.1510607580,1.1514793680,1.1510196164,1.1514639213,1.1511852946,1.1516039045,1.1511441529,1.1515884579,6393725.6612885855,1
2010-01-05T14:00:00Z,1.1514650150,1.1515061750,1.1503450517,1.1505025092,1.1515873642,1.1516285242,1.1504674009,1.1506248583,10881135.5473609716,1
2010-01-05T15:00:00Z,1.1505059403,1.1506661970,1.1503676744,1.1505970371,1.1506214272,1.1507816839,1.1504831612,1.1507125239,5916293.2053138921,1
2010-01-05T16:00:00Z,1.1505953969,1.1508626981,1.1501991939,1.1504967344,1.1507141641,1.1509814653,1.1503179610,1.1506155015,4949818.3724958412,1
2010-01-05T17:00:00Z,1.1504928825,1.1506805793,1.1503992836,1.1504700620,1.1506193534,1.1508070503,1.1505257546,1.1505965330,6757710.1985641131,1
2010-01-05T18:00:00Z,1.1504740808,1.1505791247,1.1498962770,1.1499223679,1.1505925142,1.1506975580,1.1500147103,1.1500408013,4832039.2713206271,1
2010-01-05T19:00:00Z,1.1499225730,1.1499276701,1.1492748891,1.1493786865,1.1500405961,1.1500456932,1.1493929122,1.1494967096,5419642.7790647801,1
2010-01-05T20:00:00Z,1.1493723691,1.1497328489,1.1480116296,1.1485641146,1.1495030269,1.1498635067,1.1481422873,1.1486947724,6003795.6615624726,1
2010-01-05T21:00:00Z,1.1485677509,1.1486840198,1.1483181439,1.1483744007,1.1486911362,1.1488074051,1.1484415292,1.1484977860,6799957.5521777198,1
2010-01-05T22:00:00Z,1.1483720551,1.1488961973,1.1478590092,1.1481134050,1.1485001316,1.1490242738,1.1479870856,1.1482414814,7332862.3369060392,1
2010-01-05T23:00:00Z,1.1481186882,1.1485217345,1.1480900089,1.1484989309,1.1482361982,1.1486392446,1.1482075190,1.1486164409,12271882.4690397810,1
2010-01-06T00:00:00Z,1.1485006158,1.1491308131,1.1482314473,1.1488738285,1.1486147560,1.1492449533,1.1483455875,1.1489879687,11173086.5113209188,1
2010-01-06T01:00:00Z,1.1488697212,1.1491157807,1.1483768310,1.1485687974,1.1489920760,1.1492381355,1.1484991858,1.1486911522,6632277.4895082358,1
2010-01-06T02:00:00Z,1.1485701629,1.1491149851,1.1481448138,1.1487601887,1.1486897867,1.1492346088,1.1482644375,1.1488798125,5053604.6769482708,1
2010-01-06T03:00:00Z,1.1487631149,1.1487701856,1.1484363485,1.1484436224,1.1488768863,1.1488839569,1.1485501198,1.1485573937,8849558.0529264268,1
2010-01-06T04:00:00Z,1.1484444114,1.1486660343,1.1483318572,1.1485740963,1.1485566047,1.1487782275,1.1484440504,1.1486862895,11133809.2029477302,1
2010-01-06T05:00:00Z,1.1485752434,1.1498625423,1.1484335837,1.1494516517,1.1486851425,1.1499724414,1.1485434828,1.1495615508,11887459.7718484998,1
2010-01-06T06:00:00Z,1.1494479459,1.1496706295,1.1490529965,1.1493138373,1.1495652566,1.1497879402,1.1491703072,1.1494311480,12612441.9907984994,1
2010-01-06T07:00:00Z,1.1493158294,1.1493468851,1.1487374667,1.1492205962,1.1494291559,1.1494602116,1.1488507932,1.1493339227,11490440.3227706328,1
2010-01-06T08:00:00Z,1.1492191581,1.1492936620,1.1489893848,1.1492760912,1.1493353607,1.1494098646,1.1491055875,1.1493922938,10966753.9339109231,1
2010-01-06T09:00:00Z,1.1492772484,1.1493409610,1.1487400725,1.1490307676,1.1493911367,1.1494548493,1.1488539608,1.1491446558,4858141.4369779406,1
2010-01-06T10:00:00Z,1.1490293292,1.1491570076,1.1488886545,1.1489793142,1.1491460942,1.1492737726,1.1490054196,1.1490960792,11113206.0869457275,1
2010-01-06T11:00:00Z,1.1489795455,1.1504668465,1.1487738414,1.1497842327,1.1490958478,1.1505831488,1.1488901437,1.1499005349,9428166.1337699126,1
2010-01-06T12:00:00Z,1.1497855432,1.1498634081,1.1496552681,1.1497655816,1.1498992244,1.1499770893,1.1497689493,1.1498792628,7708914.4674681146,1
2010-01-06T13:00:00Z,1.1497636141,1.1502839266,1.1496846187,1.1499088246,1.1498812303,1.1504015428,1.1498022349,1.1500264408,7173403.4834223082,1
2010-01-06T14:00:00Z,1.1499108238,1.1500471395,1.1487871655,1.1490965629,1.1500244416,1.1501607573,1.1489007833,1.1492101807,5795847.4811317502,1
2010-01-06T15:00:00Z,1.1490977466,1.1493545782,1.1487510243,1.1491367635,1.1492089969,1.1494658284,1.1488622746,1.1492480137,10257333.2924126927,1
2010-01-06T16:00:00Z,1.1491345965,1.1492948368,1.1483510124,1.1485751376,1.1492501808,1.1494104211,1.1484665967,1.1486907219,8763943.5141709633,1
2010-01-06T17:00:00Z,1.1485802169,1.1486672895,1.1485484755,1.1486005811,1.1486856426,1.1487727152,1.1486539012,1.1487060068,5644351.5182151580,1
2010-01-06T18:00:00Z,1.1486004855,1.1491104507,1.1485927413,1.1491099254,1.1487061024,1.1492160676,1.1486983582,1.1492155423,8381565.5573479161,1
2010-01-06T19:00:00Z,1.1491031395,1.1493383467,1.1485325185,1.1485427475,1.1492223281,1.1494575353,1.1486517071,1.1486619362,4803661.9096377175,1
2010-01-06T20:00:00Z,1.1485448296,1.1490542083,1.1484134182,1.1485706267,1.1486598541,1.1491692329,1.1485284427,1.1486856513,9382914.6561777480,1
2010-01-06T21:00:00Z,1.1485702300,1.1486195011,1.1479468996,1.1480577748,1.1486860480,1.1487353191,1.1480627176,1.1481735928,12456146.4779231288,1
2010-01-06T22:00:00Z,1.1480606790,1.1481849765,1.1479629912,1.1481164633,1.1481706887,1.1482949861,1.1480730009,1.1482264729,12076603.9856926296,1
2010-01-06T23:00:00Z,1.1481158815,1.1481244314,1.1478476095,1.1479195190,1.1482270547,1.1482356046,1.1479587827,1.1480306922,8022070.6379578654,1
2010-01-07T00:00:00Z,1.1479221886,1.1482669251,1.1477293047,1.1481472101,1.1480280226,1.1483727592,1.1478351388,1.1482530441,5746550.1572088972,1
2010-01-07T01:00:00Z,1.1481509126,1.1484677509,1.1481405182,1.1484586472,1.1482493416,1.1485661799,1.1482389471,1.1485570762,12156555.4026363902,1
2010-01-07T02:00:00Z,1.1484540202,1.1487474725,1.1477661796,1.1478429434,1.1485617032,1.1488551555,1.1478738626,1.1479506264,11899912.6417764518,1
2010-01-07T03:00:00Z,1.1478446169,1.1484297699,1.1477940179,1.1483125755,1.1479489529,1.1485341058,1.1478983539,1.1484169115,10711925.9705890715,1
2010-01-07T04:00:00Z,1.1483150607,1.1483552739,1.1479398722,1.1479589179,1.1484144263,1.1484546396,1.1480392378,1.1480582836,13785711.8079247829,1
2010-01-07T05:00:00Z,1.1479530756,1.1479884660,1.1472202463,1.1472324480,1.1480641259,1.1480995162,1.1473312966,1.1473434983,8730061.7322398666,1
2010-01-07T06:00:00Z,1.1472387612,1.1473136160,1.1468365663,1.1470321982,1.1473371851,1.1474120399,1.1469349902,1.1471306221,8469686.2153988238,1
2010-01-07T07:00:00Z,1.1470301965,1.1473402192,1.1464519429,1.1467106659,1.1471326238,1.1474426466,1.1465543703,1.1468130933,9897469.0047477148,1
2010-01-07T08:00:00Z,1.1467131566,1.1469912827,1.1460067437,1.1461972738,1.1468106026,1.1470887287,1.1461041896,1.1462947198,13444020.0792938042,1
2010-01-07T09:00:00Z,1.1461916956,1.1462957804,1.1458151540,1.1459179267,1.1463002979,1.1464043828,1.1459237564,1.1460265291,4833286.7017579935,1
2010-01-07T10:00:00Z,1.1459205790,1.1460327649,1.1456650701,1.1456984991,1.1460238768,1.1461360628,1.1457683680,1.1458017970,5886174.3397650514,1
2010-01-07T11:00:00Z,1.1456986025,1.1457133979,1.1449792911,1.1450894291,1.1458016936,1.1458164890,1.1450823823,1.1451925202,5447982.3977645449,1
2010-01-07T12:00:00Z,1.1450887353,1.1457120438,1.1445406428,1.1452174164,1.1451932140,1.1458165226,1.1446451216,1.1453218951,8928526.7885217275,1
2010-01-07T13:00:00Z,1.1452187972,1.1460595948,1.1445810572,1.1458578839,1.1453205143,1.1461613120,1.1446827744,1.1459596010,14227768.9819765408,1
2010-01-07T14:00:00Z,1.1458592922,1.1463769786,1.1458545122,1.1463693086,1.1459581927,1.1464758791,1.1459534128,1.1464682091,12255434.5383428615,1
2010-01-07T15:00:00Z,1.1463681391,1.1467427539,1.1463250693,1.1466687547,1.1464693786,1.1468439934,1.1464263088,1.1467699942,10364636.1451485138,1
2010-01-07T16:00:00Z,1.1466687652,1.1466813197,1.1463236511,1.1463263237,1.1467699837,1.1467825382,1.1464248696,1.1464275422,14412735.4166756142,1
2010-01-07T17:00:00Z,1.1463251426,1.1464737895,1.1459960086,1.1462048872,1.1464287234,1.1465773703,1.1460995893,1.1463084679,13343047.5604084097,1
2010-01-07T18:00:00Z,1.1462032285,1.1468286962,1.1461888377,1.1468022455,1.1463101266,1.1469355943,1.1462957359,1.1469091437,13282063.1531612761,1
2010-01-07T19:00:00Z,1.1468058869,1.1471766791,1.1468047489,1.1470558306,1.1469055022,1.1472762944,1.1469043642,1.1471554460,6887346.2440086491,1
2010-01-07T20:00:00Z,1.1470548818,1.1472305046,1.1470026892,1.1472086936,1.1471563948,1.1473320176,1.1471042022,1.1473102065,11761942.5488151461,1
2010-01-07T21:00:00Z,1.1472082185,1.1473572583,1.1471731963,1.1473435694,1.1473106816,1.1474597214,1.1472756594,1.1474460326,7624730.8339835722,1
2010-01-07T22:00:00Z,1.1473406517,1.1478376679,1.1469718348,1.1472168943,1.1474489503,1.1479459665,1.1470801334,1.1473251930,4731639.5256762058,1
2010-01-07T23:00:00Z,1.1472179821,1.1475103733,1.1465187551,1.1467270165,1.1473241052,1.1476164963,1.1466248781,1.1468331395,6306731.5822051652,1
2010-01-08T00:00:00Z,1.1467285188,1.1469960366,1.1461437382,1.1461441113,1.1468316372,1.1470991550,1.1462468565,1.1462472296,6875514.7451927466,1
2010-01-08T01:00:00Z,1.1461425078,1.1462512459,1.1460651077,1.1461383413,1.1462488331,1.1463575711,1.1461714329,1.1462446665,13500351.4236565251,1
2010-01-08T02:00:00Z,1.1461374505,1.1465239557,1.1460702721,1.1464688385,1.1462455572,1.1466320624,1.1461783788,1.1465769452,7947126.7129713958,1
2010-01-08T03:00:00Z,1.1464703367,1.1466175112,1.1461577206,1.1465274475,1.1465754469,1.1467226214,1.1462628309,1.1466325577,11217001.5663772263,1
2010-01-08T04:00:00Z,1.1465207180,1.1471757847,1.1462913736,1.1465519140,1.1466392871,1.1472943538,1.1464099427,1.1466704832,4488636.3248541960,1
2010-01-08T05:00:00Z,1.1465586381,1.1474090264,1.1460750728,1.1470704163,1.1466637592,1.1475141475,1.1461801939,1.1471755374,11280307.6046607364,1
2010-01-08T06:00:00Z,1.1470702719,1.1476489130,1.1469541039,1.1474852364,1.1471756818,1.1477543229,1.1470595138,1.1475906463,12049418.2524648868,1
2010-01-08T07:00:00Z,1.1474842890,1.1478956874,1.1473570243,1.1478481858,1.1475915936,1.1480029920,1.1474643289,1.1479554905,6994648.4380885568,1
2010-01-08T08:00:00Z,1.1478445572,1.1478769305,1.1472263731,1.1472306594,1.1479591191,1.1479914924,1.1473409350,1.1473452213,7978364.3354570055,1
2010-01-08T09:00:00Z,1.1472337650,1.1473621115,1.1470131645,1.1471518873,1.1473421158,1.1474704623,1.1471215153,1.1472602380,8326975.2058446556,1
2010-01-08T10:00:00Z,1.1471537299,1.1475508948,1.1467968346,1.1472987330,1.1472583954,1.1476555603,1.1469015001,1.1474033985,5946773.1366544021,1
2010-01-08T11:00:00Z,1.1472964309,1.1480848938,1.1465496411,1.1480248043,1.1474057007,1.1481941636,1.1466589109,1.1481340742,6551157.2204080662,1
2010-01-08T12:00:00Z,1.1480241686,1.1480280540,1.1477659262,1.1477742109,1.1481347099,1.1481385953,1.1478764675,1.1478847523,6970043.6587203471,1
2010-01-08T13:00:00Z,1.1477753383,1.1482127155,1.1477710795,1.1482072293,1.1478836249,1.1483210021,1.1478793660,1.1483155158,13050793.3299378883,1
2010-01-08T14:00:00Z,1.1482073530,1.1482642311,1.1474800063,1.1480702317,1.1483153921,1.1483722703,1.1475880455,1.1481782708,10886970.9238368254,1
2010-01-08T15:00:00Z,1.1480703552,1.1486199166,1.1480172126,1.1482848280,1.1481781474,1.1487277088,1.1481250048,1.1483926202,9297316.0038262401,1
2010-01-08T16:00:00Z,1.1482810593,1.1484159807,1.1479169845,1.1479814969,1.1483963889,1.1485313102,1.1480323140,1.1480968264,7226141.9499349631,1
2010-01-08T17:00:00Z,1.1479836390,1.1483405162,1.1474090487,1.1478316820,1.1480946843,1.1484515615,1.1475200941,1.1479427273,12419499.4525558259,1
2010-01-08T18:00:00Z,1.1478313331,1.1478818301,1.1470951365,1.1471612924,1.1479430761,1.1479935731,1.1472068795,1.1472730354,7121346.1941756597,1
2010-01-08T19:00:00Z,1.1471585595,1.1472050111,1.1468735541,1.1469202131,1.1472757683,1.1473222199,1.1469907630,1.1470374219,12706787.4589258544,1
2010-01-08T20:00:00Z,1.1469265412,1.1471413925,1.1468206542,1.1471238427,1.1470310938,1.1472459450,1.1469252068,1.1472283953,7418514.7320303088,1
2010-01-08T21:00:00Z,1.1471209896,1.1474025785,1.1468765552,1.1472380577,1.1472312484,1.1475128373,1.1469868140,1.1473483165,9016022.1891626790,1
2010-01-08T22:00:00Z,1.1472381931,1.1476635556,1.1462260231,1.1468193686,1.1473481811,1.1477735436,1.1463360111,1.1469293566,12622366.9085473046,1
2010-01-08T23:00:00Z,1.1468179554,1.1474708267,1.1468105332,1.1474662240,1.1469307697,1.1475836411,1.1469233476,1.1475790383,5909923.6826754157,1
2010-01-11T00:00:00Z,1.1474662050,1.1479173582,1.1467531044,1.1473543394,1.1475790572,1.1480302104,1.1468659566,1.1474671916,9328427.2670192420,1
2010-01-11T01:00:00Z,1.1473538596,1.1474180713,1.1467961218,1.1468912763,1.1474676714,1.1475318830,1.1469099335,1.1470050880,9886032.7866735253,1
2010-01-11T02:00:00Z,1.1468925558,1.1469368135,1.1468286622,1.1468345164,1.1470038085,1.1470480663,1.1469399149,1.1469457691,10180178.6851338875,1
2010-01-11T03:00:00Z,1.1468289211,1.1468317235,1.1464335099,1.1465732961,1.1469513644,1.1469541668,1.1465559531,1.1466957394,7701991.8294028305,1
2010-01-11T04:00:00Z,1.1465805704,1.1467758048,1.1458999575,1.1461869437,1.1466884652,1.1468836996,1.1460078524,1.1462948386,10052939.1899027955,1
2010-01-11T05:00:00Z,1.1461856614,1.1467242877,1.1457239499,1.1458898461,1.1462961210,1.1468347473,1.1458344094,1.1460003056,10103843.0033396948,1
2010-01-11T06:00:00Z,1.1458879696,1.1458944939,1.1455812722,1.1456664822,1.1460021821,1.1460087064,1.1456954847,1.1457806947,5580576.1496844338,1
2010-01-11T07:00:00Z,1.1456678701,1.1461886661,1.1453633414,1.1459144615,1.1457793069,1.1463001029,1.1454747782,1.1460258982,12032372.3444050066,1
2010-01-11T08:00:00Z,1.1459126523,1.1462554271,1.1452452901,1.1461839324,1.1460277074,1.1463704822,1.1453603452,1.1462989875,5551654.8659868352,1
2010-01-11T09:00:00Z,1.1461835817,1.1462051844,1.1452057754,1.1452337422,1.1462993382,1.1463209409,1.1453215319,1.1453494987,10833904.0475580990,1
2010-01-11T10:00:00Z,1.1452367829,1.1452851277,1.1442995103,1.1443628080,1.1453464580,1.1453948028,1.1444091854,1.1444724831,7337261.7151210438,1
2010-01-11T11:00:00Z,1.1443649889,1.1444307559,1.1441041486,1.1441080089,1.1444703022,1.1445360692,1.1442094619,1.1442133222,10798659.3641856406,1
2010-01-11T12:00:00Z,1.1441099958,1.1441568820,1.1438908592,1.1439581489,1.1442113353,1.1442582215,1.1439921988,1.1440594884,12277418.0833281800,1
2010-01-11T13:00:00Z,1.1439541632,1.1446345335,1.1437280420,1.1439594294,1.1440634741,1.1447438444,1.1438373528,1.1440687402,11232118.6202745456,1
2010-01-11T14:00:00Z,1.1439628611,1.1441178115,1.1436761035,1.1437728666,1.1440653085,1.1442202589,1.1437785510,1.1438753141,6238439.9419899769,1
2010-01-11T15:00:00Z,1.1437743423,1.1437744189,1.1435835644,1.1435877988,1.1438738383,1.1438739149,1.1436830604,1.1436872948,13764620.4096960463,1
2010-01-11T16:00:00Z,1.1435866179,1.1439341051,1.1427763726,1.1432159278,1.1436884758,1.1440359631,1.1428782306,1.1433177857,9300788.0254435558,1
2010-01-11T17:00:00Z,1.1432156188,1.1432563499,1.1429386654,1.1429416801,1.1433180947,1.1433588258,1.1430411414,1.1430441560,13213154.2650400195,1
2010-01-11T18:00:00Z,1.1429424704,1.1431356655,1.1428065143,1.1430916556,1.1430433658,1.1432365609,1.1429074098,1.1431925510,11908520.8519064672,1
2010-01-11T19:00:00Z,1.1430865602,1.1434676125,1.1425705010,1.1428906118,1.1431976464,1.1435786987,1.1426815872,1.1430016981,7432720.5482609775,1
2010-01-11T20:00:00Z,1.1428897607,1.1433633267,1.1424905297,1.1426628111,1.1430025492,1.1434761153,1.1426033183,1.1427755997,12451875.6988194212,1
2010-01-11T21:00:00Z,1.1426667460,1.1427424686,1.1422329674,1.1424937151,1.1427716649,1.1428473875,1.1423378863,1.1425986340,7677410.9738976611,1
2010-01-11T22:00:00Z,1.1424857003,1.1426290413,1.1417513594,1.1420628910,1.1426066488,1.1427499897,1.1418723079,1.1421838394,10513466.7345004268,1
2010-01-11T23:00:00Z,1.1420684899,1.1421865659,1.1408182788,1.1409289766,1.1421782405,1.1422963165,1.1409280294,1.1410387271,11703465.8285789229,1
2010-01-12T00:00:00Z,1.1409310667,1.1412612190,1.1403524000,1.1407299014,1.1410366370,1.1413667892,1.1404579702,1.1408354717,10407545.5077916626,1
2010-01-12T01:00:00Z,1.1407280460,1.1410388235,1.1402481705,1.1404758685,1.1408373270,1.1411481045,1.1403574515,1.1405851495,12247881.9134035055,1
2010-01-12T02:00:00Z,1.1404763763,1.1404765358,1.1401565254,1.1403936593,1.1405846417,1.1405848012,1.1402647908,1.1405019247,9934060.1808120366,1
2010-01-12T03:00:00Z,1.1403930628,1.1403952516,1.1401940676,1.1403179096,1.1405025211,1.1405047099,1.1403035259,1.1404273679,5923802.5359633872,1
2010-01-12T04:00:00Z,1.1403172015,1.1406341540,1.1401639564,1.1405994974,1.1404280760,1.1407450285,1.1402748308,1.1407103719,9339632.6451662127,1
2010-01-12T05:00:00Z,1.1406020701,1.1407907144,1.1404593353,1.1407268052,1.1407077993,1.1408964436,1.1405650645,1.1408325344,6265426.8044015951,1
2010-01-12T06:00:00Z,1.1407255126,1.1414657222,1.1407204025,1.1414252550,1.1408338270,1.1415740367,1.1408287169,1.1415335694,5737267.6096015181,1
2010-01-12T07:00:00Z,1.1414261944,1.1416920070,1.1403328176,1.1410319241,1.1415326301,1.1417984426,1.1404392533,1.1411383598,11155259.1654391773,1
2010-01-12T08:00:00Z,1.1410335248,1.1410740819,1.1408770061,1.1409877875,1.1411367591,1.1411773162,1.1409802404,1.1410910218,7838866.2385638673,1
2010-01-12T09:00:00Z,1.1409855774,1.1410929187,1.1409852722,1.1410927183,1.1410932318,1.1412005730,1.1410929266,1.1412003727,13184121.8292129748,1
2010-01-12T10:00:00Z,1.1410841944,1.1412407596,1.1409682364,1.1411506168,1.1412088966,1.1413654619,1.1410929386,1.1412753190,9711674.1546349823,1
2010-01-12T11:00:00Z,1.1411602790,1.1412090592,1.1406926074,1.1407293440,1.1412656568,1.1413144370,1.1407979853,1.1408347218,14011780.4599856585,1
2010-01-12T12:00:00Z,1.1407304366,1.1415007308,1.1404198900,1.1414215974,1.1408336293,1.1416039235,1.1405230827,1.1415247901,6422980.0791744236,1
2010-01-12T13:00:00Z,1.1414164547,1.1415588787,1.1406122202,1.1407998672,1.1415299328,1.1416723567,1.1407256983,1.1409133453,11052103.9017782081,1
2010-01-12T14:00:00Z,1.1408048849,1.1408570466,1.1402590836,1.1403587502,1.1409083275,1.1409604891,1.1403625261,1.1404621928,11135644.1231335644,1
2010-01-12T15:00:00Z,1.1403598432,1.1407178832,1.1395718058,1.1406064828,1.1404610998,1.1408191398,1.1396730623,1.1407077393,14007635.0120798741,1
2010-01-12T16:00:00Z,1.1406089653,1.1408333231,1.1405209129,1.1407536519,1.1407052568,1.1409296145,1.1406172043,1.1408499434,12051928.4912850782,1
2010-01-12T17:00:00Z,1.1407539054,1.1410189376,1.1407176798,1.1409716423,1.1408496899,1.1411147222,1.1408134643,1.1410674268,8723897.7133440003,1
2010-01-12T18:00:00Z,1.1409649379,1.1416400619,1.1406742644,1.1410874419,1.1410741311,1.1417492551,1.1407834576,1.1411966351,6735400.7013474936,1
2010-01-12T19:00:00Z,1.1410878284,1.1412223669,1.1410293666,1.1411381269,1.1411962487,1.1413307872,1.1411377869,1.1412465472,9940198.8419501409,1
2010-01-12T20:00:00Z,1.1411393071,1.1419362982,1.1406220150,1.1412086782,1.1412453670,1.1420423581,1.1407280749,1.1413147381,13291672.1425164286,1
2010-01-12T21:00:00Z,1.1412114541,1.1412215546,1.1411205528,1.1411521977,1.1413119621,1.1413220626,1.1412210608,1.1412527057,14639573.4520763624,1
2010-01-12T22:00:00Z,1.1411476394,1.1416389590,1.1410808618,1.1416238651,1.1412572639,1.1417485834,1.1411904862,1.1417334895,7151226.3445742475,1
2010-01-12T23:00:00Z,1.1416274574,1.1421881341,1.1413665283,1.1417688073,1.1417298972,1.1422905739,1.1414689681,1.1418712470,8963564.6589381695,1
2010-01-13T00:00:00Z,1.1417650423,1.1418955920,1.1416411759,1.1416749518,1.1418750120,1.1420055617,1.1417511456,1.1417849215,4769826.1839306206,1
